review_id,product_id,category,review_text,review_length,num_words,sentiment_score,rating
R0001,P158,home,Amazing quality and fast shipping.,134,27,-0.6,3
R0002,P117,fashion,"Just okay, nothing special.",115,28,-0.1,5
R0003,P160,fashion,Not worth the money.,139,32,0.2,5
R0004,P127,fashion,"Just okay, nothing special.",165,32,0.22,4
R0005,P151,home,"Just okay, nothing special.",112,15,-0.03,4
R0006,P182,home,"Just okay, nothing special.",112,18,0.51,4
R0007,P195,home,"Excellent product, I loved it!",167,28,-0.33,3
R0008,P154,fashion,Amazing quality and fast shipping.,143,28,0.13,3
R0009,P144,sports,"Excellent product, I loved it!",105,28,0.26,2
R0010,P144,sports,"Terrible experience, would not buy again.",136,51,0.46,5
R0011,P128,fashion,"Just okay, nothing special.",106,28,0.56,4
R0012,P151,electronics,Amazing quality and fast shipping.,106,32,-0.36,4
R0013,P152,electronics,Not worth the money.,127,31,-0.57,4
R0014,P189,home,"Excellent product, I loved it!",62,29,0.84,5
R0015,P179,home,Not worth the money.,68,22,0.37,2
R0016,P136,home,"Terrible experience, would not buy again.",103,30,-0.17,4
R0017,P153,electronics,"Terrible experience, would not buy again.",89,19,0.98,4
R0018,P153,fashion,Not worth the money.,129,23,0.26,4
R0019,P132,electronics,Amazing quality and fast shipping.,92,21,0.79,1
R0020,P192,sports,Not worth the money.,77,25,0.23,5
R0021,P111,home,,163,41,1.0,5
R0022,P133,sports,"Excellent product, I loved it!",113,11,1.0,4
R0023,P137,fashion,Amazing quality and fast shipping.,122,29,0.08,4
R0024,P182,electronics,Amazing quality and fast shipping.,77,13,0.69,5
R0025,P125,home,Not worth the money.,103,21,0.52,5
R0026,P170,sports,Amazing quality and fast shipping.,123,32,0.88,2
R0027,P199,fashion,,85,25,-0.28,4
R0028,P170,fashion,"Terrible experience, would not buy again.",131,17,0.54,4
R0029,P189,home,"Just okay, nothing special.",101,19,0.73,4
R0030,P102,home,"Terrible experience, would not buy again.",111,29,-0.68,5
R0031,P100,home,Amazing quality and fast shipping.,101,19,-0.39,5
R0032,P195,home,Amazing quality and fast shipping.,175,26,-0.82,5
R0033,P177,fashion,"Terrible experience, would not buy again.",119,25,0.07,4
R0034,P126,home,Not worth the money.,88,20,0.56,2
R0035,P152,fashion,"Terrible experience, would not buy again.",144,40,0.95,5
R0036,P129,electronics,Not worth the money.,83,29,0.24,5
R0037,P135,fashion,"Just okay, nothing special.",126,10,1.0,2
